url	topic_name	topic	probability	main_topic
http://twitter.com/i/web/status/1575998993909567488	bts_run_fool	19	23.0	19
http://twitter.com/i/web/status/1575999367009701888	houseofthedragon_daemon_rhaenyra	5	12.0	5
http://twitter.com/i/web/status/1575999685302566914	jisoo_maria_diorss	350	40.0	350
http://twitter.com/i/web/status/1576000123892473856	hello_thesecondstep_chaptertwo	59	5.0	59
http://twitter.com/i/web/status/1576001907721895937	nato_sanctions_starve	448	2.0	-1
http://twitter.com/i/web/status/1576002614780907521	november_wish_bringing	45	8.0	45
http://twitter.com/i/web/status/1576002973049798656	pelosi_paul_nancy	2	11.0	2
http://twitter.com/i/web/status/1576003436407312384	abbott_greg_texas	60	5.0	60
http://twitter.com/i/web/status/1576004272575037440	abbott_greg_texas	60	13.0	60
http://twitter.com/i/web/status/1576004624791658496	education_encounters_normandy	455	4.0	-1
http://twitter.com/i/web/status/1576004888814706689	education_encounters_normandy	455	3.0	-1
http://twitter.com/i/web/status/1576005020385878017	cinema_movie_films	96	7.0	96
http://twitter.com/i/web/status/1576005190531964931	problem_hi_nvm	282	2.0	-1
http://twitter.com/i/web/status/1576005841278631936	tak_jakarta_yang	14	42.0	14
http://twitter.com/i/web/status/1576005982677008384	november_wish_bringing	45	30.0	45
http://twitter.com/i/web/status/1576006026284785664	bird_freed_evicts	331	1.0	-1
http://twitter.com/i/web/status/1576006549478248450	education_encounters_normandy	455	5.0	-1
http://twitter.com/i/web/status/1576006889275420673	proud_prouder_batista	220	13.0	220
http://twitter.com/i/web/status/1576006956929536005	abbott_greg_texas	60	26.0	60
http://twitter.com/i/web/status/1576007735518584832	de_que_djokovic	197	21.0	197
http://twitter.com/i/web/status/1576008600312778753	twitter_tweet_whatsapp	18	42.0	18
http://twitter.com/i/web/status/1576008923802652672	abbott_greg_texas	60	4.0	60
http://twitter.com/i/web/status/1576009495054290944	halloween_mundane_party	23	7.0	23
http://twitter.com/i/web/status/1576009704978800640	dog_dogs_puppy	37	14.0	37
http://twitter.com/i/web/status/1576010323240550400	abbott_greg_texas	60	3.0	60
http://twitter.com/i/web/status/1576010373848649729	black_white_donda	32	100.0	32
http://twitter.com/i/web/status/1576011058803748864	moon_jupiter_saturn	102	24.0	102
http://twitter.com/i/web/status/1576011384747610112	sleep_wake_bed	16	2.0	16
http://twitter.com/i/web/status/1576012045018750976	men_ngga_thier	161	7.0	161
http://twitter.com/i/web/status/1576012576215138304	marijuana_possession_possessing	219	100.0	219
http://twitter.com/i/web/status/1576012668942487553	abortion_roe_wade	24	2.0	-1
http://twitter.com/i/web/status/1576012668942487553	oz_dr_puppies	256	2.0	-1
http://twitter.com/i/web/status/1576013384629518336	abbott_greg_texas	60	10.0	60
http://twitter.com/i/web/status/1576013859705405441	siblings_sibling_younger	215	2.0	215
http://twitter.com/i/web/status/1576013884196282369	airdrop_aptos_airdrops	103	3.0	103
http://twitter.com/i/web/status/1576014528495558657	abbott_greg_texas	60	15.0	60
http://twitter.com/i/web/status/1576015755086155777	florida_desantis_hurricane	30	2.0	30
http://twitter.com/i/web/status/1576017593260945408	instagram_story_rm	135	3.0	135
