topic_id	topic_name	meta_topic	topic_word	topic_size	doc_1	doc_2	doc_3	doc_4	doc_5	doc_6	doc_7	doc_8	doc_9	doc_10	doc_11	doc_12	doc_13	doc_14	doc_15	doc_16	doc_17	doc_18	doc_19	doc_20
0	covid_vaccine_pfizer	1	covid (4.0), vaccine (3.0), pfizer (2.0), vaccines (2.0), transmission (2.0), cdc (1.0), mrna (1.0), vaccinated (1.0), tested (1.0), prevent (1.0)	202	http://twitter.com/i/web/status/1584692426790211586	http://twitter.com/i/web/status/1578098393301549056	http://twitter.com/i/web/status/1578523138044104704	http://twitter.com/i/web/status/1586036528064741376	http://twitter.com/i/web/status/1583872500064452608	http://twitter.com/i/web/status/1579830040858329089	http://twitter.com/i/web/status/1578793957383106560	http://twitter.com/i/web/status/1578824858636808192	http://twitter.com/i/web/status/1579791465299214341	http://twitter.com/i/web/status/1578886708547837952	http://twitter.com/i/web/status/1582100003174027264	http://twitter.com/i/web/status/1579781402396348416	http://twitter.com/i/web/status/1580263909440856066	http://twitter.com/i/web/status/1582850570364145664	http://twitter.com/i/web/status/1579108388587581440	http://twitter.com/i/web/status/1579759795225198593	http://twitter.com/i/web/status/1587149556290142208	http://twitter.com/i/web/status/1584535404912353285	http://twitter.com/i/web/status/1582355875649331201	http://twitter.com/i/web/status/1580144699423092736
1	ukraine_russia_russian	0	ukraine (4.0), russia (3.0), russian (2.0), war (2.0), putin (2.0), ukrainian (2.0), crimea (1.0), nuclear (1.0), kyiv (1.0), ukrainians (1.0)	178	http://twitter.com/i/web/status/1580412982840135681	http://twitter.com/i/web/status/1580636236212936704	http://twitter.com/i/web/status/1579820810751324160	http://twitter.com/i/web/status/1581356355671101442	http://twitter.com/i/web/status/1579474177622700033	http://twitter.com/i/web/status/1579445930981732352	http://twitter.com/i/web/status/1582926857749467137	http://twitter.com/i/web/status/1576464942479585281	http://twitter.com/i/web/status/1584054018145685504	http://twitter.com/i/web/status/1579393649137573888	http://twitter.com/i/web/status/1583007269062836224	http://twitter.com/i/web/status/1577083012914651142	http://twitter.com/i/web/status/1576472432445095938	http://twitter.com/i/web/status/1576814074750726144	http://twitter.com/i/web/status/1577539742383706115	http://twitter.com/i/web/status/1584643015859372032	http://twitter.com/i/web/status/1578336454601678848	http://twitter.com/i/web/status/1578041621093949440	http://twitter.com/i/web/status/1579361005661888512	http://twitter.com/i/web/status/1578769911954165761
2	pelosi_paul_nancy	0	pelosi (4.0), paul (2.0), nancy (2.0), speaker (1.0), attack (1.0), maga (1.0), attacker (1.0), hammer (1.0), jan (1.0), january (1.0)	194	http://twitter.com/i/web/status/1586059747882864640	http://twitter.com/i/web/status/1586144536408883205	http://twitter.com/i/web/status/1580672146946199554	http://twitter.com/i/web/status/1580671966331031552	http://twitter.com/i/web/status/1580637871081283584	http://twitter.com/i/web/status/1586098682365063168	http://twitter.com/i/web/status/1580918320017993738	http://twitter.com/i/web/status/1586810389962145792	http://twitter.com/i/web/status/1580951301386444800	http://twitter.com/i/web/status/1587053067014328320	http://twitter.com/i/web/status/1586767000763658241	http://twitter.com/i/web/status/1581063853387165696	http://twitter.com/i/web/status/1586431650048593921	http://twitter.com/i/web/status/1586155489246646272	http://twitter.com/i/web/status/1587393703676551168	http://twitter.com/i/web/status/1586001132991967233	http://twitter.com/i/web/status/1586052313067581440	http://twitter.com/i/web/status/1586593895151898625	http://twitter.com/i/web/status/1586561337362157569	http://twitter.com/i/web/status/1580712690766712833
3	jungkook_jung_omg	2	jungkook (14.0), jung (2.0), omg (2.0), jungkookie (1.0), glasses (1.0), joon (1.0), look (1.0), harley (1.0), hoseok (1.0), weverse (1.0)	133	http://twitter.com/i/web/status/1580885284379840512	http://twitter.com/i/web/status/1581319689317195776	http://twitter.com/i/web/status/1579055462213120000	http://twitter.com/i/web/status/1585634222374416385	http://twitter.com/i/web/status/1585219731887620100	http://twitter.com/i/web/status/1578726929305591809	http://twitter.com/i/web/status/1579161084124352513	http://twitter.com/i/web/status/1579823579197120513	http://twitter.com/i/web/status/1578337232888688641	http://twitter.com/i/web/status/1581801696745119744	http://twitter.com/i/web/status/1576112255988826113	http://twitter.com/i/web/status/1580351876620775425	http://twitter.com/i/web/status/1579825174484246528	http://twitter.com/i/web/status/1576077704884981761	http://twitter.com/i/web/status/1586373868171984897	http://twitter.com/i/web/status/1581260127214391296	http://twitter.com/i/web/status/1578747770391134208	http://twitter.com/i/web/status/1581630595150401536	http://twitter.com/i/web/status/1582087569600262144	http://twitter.com/i/web/status/1583748563368280064
4	chicken_cheese_meal	3	chicken (3.0), cheese (3.0), meal (2.0), recipe (2.0), mac (2.0), sauce (2.0), cheesecake (1.0), bread (1.0), strawberries (1.0), shrimp (1.0)	167	http://twitter.com/i/web/status/1582789115287785472	http://twitter.com/i/web/status/1580601424832270336	http://twitter.com/i/web/status/1584664091712376834	http://twitter.com/i/web/status/1583083612974374914	http://twitter.com/i/web/status/1578508531690455040	http://twitter.com/i/web/status/1580058324548358145	http://twitter.com/i/web/status/1578809187630731265	http://twitter.com/i/web/status/1581986722971144194	http://twitter.com/i/web/status/1584976145979936768	http://twitter.com/i/web/status/1582189161141846016	http://twitter.com/i/web/status/1586751990876590080	http://twitter.com/i/web/status/1584533803292250112	http://twitter.com/i/web/status/1585344712742871042	http://twitter.com/i/web/status/1578432245836042240	http://twitter.com/i/web/status/1587179087520579584	http://twitter.com/i/web/status/1580610452526354432	http://twitter.com/i/web/status/1582535479186329600	http://twitter.com/i/web/status/1576968611968995329	http://twitter.com/i/web/status/1586410852646674432	http://twitter.com/i/web/status/1587163321009983488
5	houseofthedragon_daemon_rhaenyra	4	houseofthedragon (11.0), daemon (4.0), rhaenyra (3.0), targaryen (3.0), viserys (3.0), dragon (2.0), aemond (2.0), theowlhouse (2.0), dragons (2.0), hotd (2.0)	146	http://twitter.com/i/web/status/1581830366574555136	http://twitter.com/i/web/status/1579298091144187904	http://twitter.com/i/web/status/1579292995937271809	http://twitter.com/i/web/status/1579324360032415744	http://twitter.com/i/web/status/1579290949515374595	http://twitter.com/i/web/status/1579334277619404801	http://twitter.com/i/web/status/1579580768443322368	http://twitter.com/i/web/status/1579844337558769665	http://twitter.com/i/web/status/1580230020089290753	http://twitter.com/i/web/status/1581823092095348736	http://twitter.com/i/web/status/1581825804886896641	http://twitter.com/i/web/status/1581851450673532928	http://twitter.com/i/web/status/1584353551765028865	http://twitter.com/i/web/status/1576763590455197697	http://twitter.com/i/web/status/1584374619779190784	http://twitter.com/i/web/status/1584381228223864832	http://twitter.com/i/web/status/1585209409315405825	http://twitter.com/i/web/status/1586400465742229507	http://twitter.com/i/web/status/1576514411165933568	http://twitter.com/i/web/status/1579302169152741378
6	ronaldo_cristiano_goals	5	ronaldo (5.0), cristiano (4.0), goals (4.0), league (3.0), club (3.0), haaland (3.0), manchester (3.0), messi (3.0), arsenal (2.0), liverpool (2.0)	170	http://twitter.com/i/web/status/1577637226099355651	http://twitter.com/i/web/status/1583811287351336960	http://twitter.com/i/web/status/1583804658828525568	http://twitter.com/i/web/status/1586095172982489088	http://twitter.com/i/web/status/1586291574207488000	http://twitter.com/i/web/status/1578092426916265984	http://twitter.com/i/web/status/1578375521649295365	http://twitter.com/i/web/status/1578699781811351553	http://twitter.com/i/web/status/1586458245589192704	http://twitter.com/i/web/status/1582840980457525248	http://twitter.com/i/web/status/1576563928687337473	http://twitter.com/i/web/status/1579181244658913281	http://twitter.com/i/web/status/1579181376351662080	http://twitter.com/i/web/status/1581941022468079616	http://twitter.com/i/web/status/1586835212138315776	http://twitter.com/i/web/status/1580940324133900289	http://twitter.com/i/web/status/1587021569548771328	http://twitter.com/i/web/status/1580668035341639680	http://twitter.com/i/web/status/1576202649581809664	http://twitter.com/i/web/status/1585734110424727553
7	manila_bethesun_seventeen	6	manila (4.0), bethesun (4.0), seventeen (4.0), singapore (3.0), svt (2.0), tour (2.0), sun (2.0), thank (2.0), bangkok (2.0), worldtour (2.0)	143	http://twitter.com/i/web/status/1581663897232494592	http://twitter.com/i/web/status/1577763022931726336	http://twitter.com/i/web/status/1580770484274151426	http://twitter.com/i/web/status/1578750297299890176	http://twitter.com/i/web/status/1578117631059664896	http://twitter.com/i/web/status/1580599056690053124	http://twitter.com/i/web/status/1585617849623928832	http://twitter.com/i/web/status/1583654384977649665	http://twitter.com/i/web/status/1578315310092144641	http://twitter.com/i/web/status/1584071461031280641	http://twitter.com/i/web/status/1579089961630199809	http://twitter.com/i/web/status/1578768227265818625	http://twitter.com/i/web/status/1584141384335863810	http://twitter.com/i/web/status/1578723540466954241	http://twitter.com/i/web/status/1581658610479730690	http://twitter.com/i/web/status/1578758319568990208	http://twitter.com/i/web/status/1578735562554757121	http://twitter.com/i/web/status/1585828710258712576	http://twitter.com/i/web/status/1580599067897233416	http://twitter.com/i/web/status/1582204825160355840
8	democracy_polls_vote	7	democracy (2.0), polls (2.0), vote (2.0), ballot (1.0), voter (1.0), election (1.0), voting (1.0), arizona (1.0), voters (1.0), mail (1.0)	257	http://twitter.com/i/web/status/1587618066212323329	http://twitter.com/i/web/status/1586092060284579842	http://twitter.com/i/web/status/1585812797404766209	http://twitter.com/i/web/status/1585629342146568193	http://twitter.com/i/web/status/1585626580516106240	http://twitter.com/i/web/status/1585462888864813057	http://twitter.com/i/web/status/1587436832769327104	http://twitter.com/i/web/status/1584541974404960256	http://twitter.com/i/web/status/1579521666434334721	http://twitter.com/i/web/status/1584492441914454017	http://twitter.com/i/web/status/1579611751368491008	http://twitter.com/i/web/status/1584179199668932608	http://twitter.com/i/web/status/1587132711998656512	http://twitter.com/i/web/status/1583959930830102528	http://twitter.com/i/web/status/1583628452904804353	http://twitter.com/i/web/status/1587414282194526208	http://twitter.com/i/web/status/1583101969643675651	http://twitter.com/i/web/status/1582807041282015232	http://twitter.com/i/web/status/1581337089509306368	http://twitter.com/i/web/status/1586041683963092994
9	truss_johnson_boris	8	truss (3.0), johnson (2.0), boris (2.0), liz (2.0), tory (2.0), prime (2.0), minister (2.0), tories (1.0), uk (1.0), general (1.0)	182	http://twitter.com/i/web/status/1583360491032047616	http://twitter.com/i/web/status/1583377166120943616	http://twitter.com/i/web/status/1583078776048848896	http://twitter.com/i/web/status/1577749641789116416	http://twitter.com/i/web/status/1578072174568652809	http://twitter.com/i/web/status/1583076860254380033	http://twitter.com/i/web/status/1584279700582838274	http://twitter.com/i/web/status/1579229396753580033	http://twitter.com/i/web/status/1583406161780670464	http://twitter.com/i/web/status/1583075062529204224	http://twitter.com/i/web/status/1583894546148372481	http://twitter.com/i/web/status/1583841904814194688	http://twitter.com/i/web/status/1580262987402616837	http://twitter.com/i/web/status/1580582864705703938	http://twitter.com/i/web/status/1580885954545319936	http://twitter.com/i/web/status/1583074397765918721	http://twitter.com/i/web/status/1583439519881101312	http://twitter.com/i/web/status/1581268144244813825	http://twitter.com/i/web/status/1583356153094098946	http://twitter.com/i/web/status/1581911289638420481
